Date,Open,High,Low,Close,Volume
2018-01-19,10718.5,10906.85,10666.75,10894.7,1194840000.0
2018-01-26,10883.2,11110.1,10881.4,11069.65,1164940000.0
2018-02-02,11079.35,11171.55,10736.1,10760.6,1344820000.0
2018-02-09,10604.3,10702.75,10276.3,10454.95,1217150000.0
2018-02-16,10518.2,10618.1,10434.05,10452.3,867580000.0
2018-02-23,10488.9,10499.1,10302.75,10491.05,1168270000.0
2018-03-02,10526.55,10631.65,10447.15,10458.35,846660000.0
2018-03-09,10428.3,10441.35,10141.55,10226.85,1112670000.0
2018-03-16,10301.6,10478.6,10180.25,10195.15,1202990000.0
2018-03-23,10215.35,10227.3,9951.9,9998.05,1169210000.0
2018-03-30,9989.15,10207.9,9958.55,10113.7,858350000.0
2018-04-06,10151.65,10350.45,10111.3,10331.6,1132740000.0
2018-04-13,10333.7,10519.9,10328.5,10480.6,1211860000.0
2018-04-20,10398.3,10594.2,10396.35,10564.05,1148190000.0
2018-04-27,10592.8,10719.8,10514.95,10692.3,1273510000.0
2018-05-04,10705.75,10784.65,10601.6,10618.25,799090000.0
2018-05-11,10653.15,10812.05,10635.65,10806.5,1081240000.0
2018-05-18,10815.15,10929.2,10589.1,10596.4,1127770000.0
2018-05-25,10616.7,10628.05,10417.8,10605.15,1322160000.0
2018-06-01,10648.35,10764.75,10558.45,10696.2,1575230000.0
2018-06-08,10765.95,10818.0,10550.9,10767.65,1022410000.0
2018-06-15,10781.85,10893.25,10755.4,10817.7,1147060000.0
2018-06-22,10830.2,10837.0,10701.2,10821.85,1100990000.0
2018-06-29,10822.9,10831.05,10557.7,10714.3,1330650000.0
2018-07-06,10732.35,10816.35,10604.65,10772.65,1176000000.0
2018-07-13,10838.3,11078.3,10807.15,11018.9,1119310000.0
2018-07-20,11018.95,11076.2,10925.6,11010.2,1081780000.0
2018-07-27,11019.85,11283.4,11010.95,11278.35,1361730000.0
2018-08-03,11296.65,11390.55,11234.95,11360.8,1271560000.0
2018-08-10,11401.5,11495.2,11359.7,11429.5,1308400000.0
2018-08-17,11369.6,11486.45,11340.3,11470.75,1035910000.0
2018-08-24,11502.1,11620.7,11499.65,11557.1,952660000.0
2018-08-31,11605.85,11760.2,11595.6,11680.5,1395140000.0
2018-09-07,11751.8,11751.8,11393.85,11589.1,1318710000.0
2018-09-14,11570.25,11573.0,11250.2,11515.2,1175420000.0
2018-09-21,11464.95,11464.95,10866.45,11143.1,1455490000.0
2018-09-28,11164.4,11170.15,10850.3,10930.45,2078510000.0
2018-10-05,10930.9,11035.65,10261.9,10316.45,1861100000.0
2018-10-12,10310.15,10492.45,10138.6,10472.5,2140490000.0
2018-10-19,10524.2,10710.15,10249.6,10303.55,1203100000.0
2018-10-26,10405.85,10408.55,10004.55,10030.0,1878760000.0
2018-11-02,10078.1,10606.95,10020.35,10553.0,1854640000.0
2018-11-09,10558.75,10619.55,10477.0,10585.2,929710000.0
2018-11-16,10607.8,10695.15,10440.55,10682.2,1586010000.0
2018-11-23,10731.25,10774.7,10512.0,10526.75,1141960000.0
2018-11-30,10568.3,10922.45,10489.75,10876.75,2333830000.0
2018-12-07,10930.7,10941.2,10588.25,10693.7,1740650000.0
2018-12-14,10508.7,10838.6,10333.85,10805.45,1941890000.0
2018-12-21,10853.2,10985.15,10738.65,10754.0,1640930000.0
